,product_title,product_url,product_breadcrumb,date,price,unit_price,loyalty_price,original_price,store_id,product_category,product_subcategory,product_subcategory_2,gender_breadcrumb,gender_title,price_per_unit,unit,labelling 
19031,Mamia Banana Rusk Biscotti Fingers 100g,/en-GB/p-mamia-banana-rusk-biscotti-fingers-100g/4088600566535,> baby toddler > baby food drink > snacks finger foods,2/12/2025,1.39,£1.39 / 100g,,1.39,5,> baby toddler,baby food drink,snacks finger foods,neutral,neutral,13.9,kg,Aleksandra
9075,"Mamia Apples, Carrots & Parsnips 120g",/en-GB/p-mamia-apples-carrots-parsnips-120g/4061461501044,> baby toddler > baby food drink > pouches pots,2/12/2025,0.59,£0.49 / 100g,,0.59,5,> baby toddler,baby food drink,pouches pots,neutral,neutral,4.9,kg,Aleksandra
14725,Organic Mamia Cocoa Rusk Biscotti Fingers 100g,/en-GB/p-organic-mamia-cocoa-rusk-biscotti-fingers-100g/4061462474668,> baby toddler > baby food drink > snacks finger foods,2/12/2025,1.39,£1.39 / 100g,,1.39,5,> baby toddler,baby food drink,snacks finger foods,neutral,neutral,13.9,kg,Aleksandra
1804,"Kiddylicious Mini Coconut Rolls, Infant Snack, 12 Months+, Multipack 8 X 6.8g",/en-GB/p-kiddylicious-mini-coconut-rolls-infant-snack-12-months-multipack-8-x-68g/5060040257890,> baby toddler > baby food drink > snacks finger foods,2/3/2025,1.99,£3.55 / 100g,,1.99,5,> baby toddler,baby food drink,snacks finger foods,neutral,neutral,35.5,kg,Aleksandra
1873,"Kiddylicious Wafers, Strawberry, Baby Snack, 6 Months+, Multipack, 10 X 4g",/en-GB/p-kiddylicious-wafers-strawberry-baby-snack-6-months-multipack-10-x-4g/5060040254448,> baby toddler > baby food drink > snacks finger foods,2/3/2025,1.99,£4.98 / 100g,,1.99,5,> baby toddler,baby food drink,snacks finger foods,neutral,neutral,49.8,kg,Aleksandra
7004,Mamia Mango Rice Pudding 100g,/en-GB/p-mamia-mango-rice-pudding-100g/4088600566238,> baby toddler > baby food drink > pouches pots,2/12/2025,1.09,£1.09 / 100g,,1.09,5,> baby toddler,baby food drink,pouches pots,neutral,neutral,10.9,kg,Aleksandra
13630,Mamia Organic Banana & Strawberry Rice Pudding 100g,/en-GB/p-mamia-organic-banana-strawberry-rice-pudding-100g/4088600566252,> baby toddler > baby food drink > pouches pots,2/12/2025,1.09,£1.09 / 100g,,1.09,5,> baby toddler,baby food drink,pouches pots,neutral,neutral,10.9,kg,Aleksandra
1405,Peppa Pig Sour Cream & Chive Flavour Lentil Hoops 5 X 17g,/en-GB/p-peppa-pig-sour-cream-chive-flavour-lentil-hoops-5-x-17g/5016451122326,> baby toddler > baby food drink > snacks finger foods,1/28/2025,0.99,£1.10 / 100g,,0.99,5,> baby toddler,baby food drink,snacks finger foods,neutral,neutral,11,kg,Aleksandra
7183,Mamia First Infant Milk From Birth 800g,/en-GB/p-mamia-first-infant-milk-from-birth-800g/4088600550084,> baby toddler > baby food drink > formula,2/12/2025,6.99,£8.74 / kg,,6.99,5,> baby toddler,baby food drink,formula,neutral,neutral,8.74,kg,Aleksandra
13925,Lynx Aerosol Bodyspray Africa 200,/en-GB/p-lynx-aerosol-bodyspray-africa-200/8711600357785,> health beauty > deodorants,2/12/2025,2.99,£1.50 / 100ml,,2.99,5,> health beauty,deodorants,,neutral,neutral,15,lt,Aleksandra
